pl_orbper,pl_orbsmax,pl_orbeccen,pl_trandur,pl_trandep,pl_imppar,pl_eqt,pl_insol,pl_bmasse,st_teff,st_rad,st_mass,st_met,st_logg,sy_dist,pl_rade
3.352057,0.047,0.1,,1.7636,0.69,1500.0,,1274.44,6250.0,1.15,1.2,-0.5,4.4,2346.01,16.7
4.20474,0.0526,0.0,5.47,,0.33,1600.0,,165.26,5590.0,1.79,1.09,0.01,3.99,1045.18,14.12
4.86069,0.0578,0.0,1.92,,0.94,1330.0,,85.81,6040.0,1.19,1.09,-0.01,4.31,1103.48,12.11
3.8867907,0.0343,0.0,1.8098,0.05142,0.3,571.0,37.372,1.24,3788.0,0.472,0.478,-0.28,4.77,177.594,1.07
31.3309,0.191,0.0,4.75,0.50738,0.7923,481.0,11.067,4385.87,5400.0,0.59,0.65,0.41,5.4,1044.36,4.9
15.3348,0.118,0.0,3.47,0.30814,0.839,610.0,28.681,2895.31,5400.0,0.59,0.65,0.41,5.4,1044.36,4.0
13.342996,0.0781,0.0,2.9002,0.08728,0.36,379.0,7.204,2.54,3788.0,0.472,0.478,-0.28,4.77,177.594,1.4
22.6845,0.155,0.004,5.586,0.0885,0.181,653.0,51.115,7.3,5663.0,1.065,0.961,0.05,4.366,646.346,3.12
10.3039,0.091,0.045,4.116,0.03013,0.116,849.0,146.36,1.9,5663.0,1.065,0.961,0.05,4.366,646.346,1.8
42.6318,0.26,0.0,6.024,0.1729,0.855,615.0,35.254,1493.7,6340.0,1.22,1.21,-0.076,4.696,1664.64,5.3
8.7522,0.09,0.0,2.328,0.1453,0.017,451.0,10.68,158.9,3900.0,0.53,0.58,0.0,4.64,323.847,2.0
7.71792984,0.0621,0.0,1.84,0.03189,0.0912,502.0,15.01,1.84,3975.0,0.509,0.535,-0.34,4.753,245.303,1.19429134
22.7802,0.13,0.0,2.976,0.2181,0.008,328.0,3.631,39.9089,3900.0,0.53,0.58,0.0,4.64,323.847,2.7
87.6451,0.4,0.0,8.256,0.0959,0.5,484.0,11.8,2161.244,6340.0,1.22,1.21,-0.076,4.696,1664.64,3.9
3.128992,0.0452,0.049,3.4464,1.34262063,0.281,1652.0,1052.239,283.492,6330.0,1.319,1.259,0.07,4.3,298.64,15.984
4.301219,0.0507,0.044,3.1248,2.205,0.172,1108.0,185.119,111.871,5295.0,0.949,0.942,0.33,4.46,347.85,13.922
3.039577,0.04,0.0,1.68,1.43,0.87,1091.99,336.0384,197.05,5316.0,0.864673,0.916,0.3,4.52626,199.173,11.43
20.8613,0.16,0.0,4.992,0.1895,0.833,781.0,91.474,36.7418,6340.0,1.22,1.21,-0.076,4.696,1664.64,5.5
0.74296,0.013,0.0,0.936,0.0224,0.16,1026.0,349.645,969.228,3900.0,0.53,0.58,0.0,4.64,323.847,0.82
10.105785,0.092,0.0,2.059,0.01116,0.14,892.0,128.086,2.13,5983.0,1.176,0.956,-0.2067,4.31,334.797,1.26
2.453234,0.032,0.0,1.746,0.17519,0.73,737.0,122.139,8.96,4559.0,0.65,0.77,0.2772,4.663,232.75,2.94
7.8914483,0.082,0.0,4.2854,1.06126,0.416,1028.0,264.983,136.66,5972.0,1.24,1.15,0.23,4.31,722.795,12.89
3.21751883,0.0414,0.18,2.191,1.43194,0.718,1300.0,410.723,108.06,5725.0,0.92,0.91,-0.21,4.471,843.695,12.22
228.776,0.7048,0.0069,,,,,,105.833,4450.0,0.6489,0.6897,-0.3,4.6527,75.0852,8.4493
22.342989,0.1684,0.022,6.68603,0.56128,0.055,806.0,97.12,106.0,6182.0,1.52,1.277,0.0228,4.181,477.052,11.27
3.743208,0.05119,0.25,3.6888,0.01263,0.088,1486.0,1053.181,10.5,6182.0,1.52,1.277,0.0228,4.181,477.052,1.71
131.458,0.60347,0.042,,,,,,40.363,5606.0,1.0284,0.8877,-0.34,4.3623,1819.17,8.16
3.52563254,0.0433,0.22,2.614,2.2335,0.13,1070.0,195.088,403.63,5150.0,0.8,0.87,0.09,4.571,686.284,12.11
3.79701816,0.0464,0.33,2.353,1.44312,0.602,1070.0,229.036,79.45,5170.0,0.86,0.93,0.24,4.535,646.647,10.962
3.7130203,0.04853,0.0,3.3336,0.97,0.431,1387.0,649.1548,187.512,5763.0,1.215,1.106,-0.006,4.314,222.355,13.047
54.32031,0.3046,0.019,8.4652,0.19962,0.18,584.0,29.7,35.0,6182.0,1.52,1.277,0.0228,4.181,477.052,6.56
88.505,0.38946,0.0,7.4072,0.26364,0.8056,390.0,5.244,17.9,5656.0,1.06,0.85,0.1558,4.32,223.757,5.3
16.2385,0.1261,0.0,3.817,0.06433,0.54,711.0,57.524,8.46,5690.0,1.02,1.0,0.04,4.421,122.881,2.67
1.763588,0.03641,0.00064,3.16877,0.45906,0.2536,2550.0,25339.901,2949.4624,7650.0,1.74,1.72,0.2,4.2,519.096,16.948008
1.4857108,0.02591,0.011,2.2764,2.18019,0.268,1570.0,1481.766,778.65,5781.0,1.01034,1.04,0.26,4.44616,720.753,14.68
48.864468,0.2672,0.04,4.974589,0.42205663,0.681,542.4,20.6036,190.0,5720.0,1.035,1.063,0.25,4.439,249.006,10.52
3.6313,0.048,0.16,3.888,,0.56,1660.0,,889.9,5900.0,1.61,1.14,0.05,4.3,1060.97,11.77
0.45328509,0.006,0.0,0.4445,0.156,0.52,720.0,82.125,60.337,3068.0,0.17,0.13,-0.33,5.11,40.0595,0.73
