pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_imppar,pl_trandep,pl_trandur,st_teff,st_rad,st_mass,st_met,sy_dist
1675,2.9,12.2,5403.11,0.6,,,,,,,5880,1.02,1.14,0.14,844.061
2.72474,0.0417,14.5717,718.2958,0,,,86.8,0.25,,4.76,6200,1.95,1.29,0,1398.834197
9.75598,0.092,4.88,12.2,0.077,,885,89.749,0.012,,4.492,5939,1.136,1.099,0.17,627.158
3.6313,0.048,11.77,889.9,0.16,,1660,85.7,0.56,,3.888,5900,1.61,1.14,0.05,1060.97
5.1134,0.056,3.7,5.7,0,,1070,86.5,0.65,,2.85,4950,0.86,0.91,0.3,591.555
11.759,0.098,5,28,0,,850,89,0.3,,4.8,4950,0.86,0.91,0.3,591.555
4.86069,0.0578,12.11,85.81,0,,1330,84.5,0.94,,1.92,6040,1.19,1.09,-0.01,1103.48
4.20474,0.0526,14.12,165.26,0,,1600,86.8,0.33,,5.47,5590,1.79,1.09,0.01,1045.18
3.57532,0.0476,11.287,3302.11,0.065,,1500,86.7,0.54,,2.77,5900,1.08,1.05,-0.1,1010.28
5.20851,0.0603,10.704595,153.82972,0.047,,,88.1,0.24,,5.7,5150,1.78,1.01,0.15,766.183
2.85057,0.0386,10.0881,270.1555,0.082,,,87.3,0.43,,2.19,5260,0.9,0.97,0.2,806.507
4.2568,0.05783,11.32,6883.91,0,,1695,85.9,0.55,0.4398,3.384,6740,1.56,1.37,0.14,768.771
9.06005,0.0844,11.309881,921.707,0.007,,,90,0,,,5650,0.91,0.98,0.02,1032.23
4.62941,0.0586,16.36514,266.9772,0.02,,,83.2,0.87,,,5700,2.15,1.25,0,2005.76
6.71837,0.071,6.38913,47.6745,,132.26,938,89,0.4,0.29,2.496,5970,0.79,1.08,0,576.683
3.22748,0.0429,18.83108758,349.6112477,0,,1747,84.1,0.58,1.257,4.19,6390,1.65,1.01,-0.5,1123.21
5.616531,0.066,15.80466279,216.1233168,0,,1567,85.83,0.573,1.01,4.98,6730,1.52,1.32,-0.1,925.958
9.20205,0.09,13.34,228.83,0,203.9517,1074,90,,1.38123234,4.4317333,6190,1.17,1.16,0.05,726.412
4.0378962,0.04947,15.558,148.42,0.09,786.2949,1438,85.83,0.755,1.461,2.9331124,6100,1.186,1,-0.25,882.472
8.886593,0.0855,13.068,940.74,0.1,,1017,89.07,0.291,,4.08,6090,1.025,1.05,-0.2,645.294
0.85359163,0.017016,1.68135,4.07660518,0,,1756,80.1,0.713,0.035,1.059,5275,0.83,0.82,0.05,159.906
3.698,0.046,2.83,8.4,0,,,80,,,,5256,0.864273,0.899,0.06,159.906
8.966,,4.31,17.142,,,,,,,,5250,0.8389,0.915,0.12,159.906
6.21229,0.063,6.39,69.92,0,,870,88.4,0.49,0.651,2.74,5080,0.77,0.88,0.3,322.037
95.272656,0.4021,11.948794,266.9772,0.133,,420,89.9,0.16,1.55,8.268,5625,0.96,0.96,-0.01,412.98
4098.1,5.75,12.4,3823.273302,0,,,86,,,,3579,0.424754,0.51,,30.5225
246.36,0.36,11.9,9057.77,0.345,,,56.6,,,,,,0.075,,20.77
