pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_imppar,pl_trandep,pl_trandur,st_teff,st_rad,st_mass,st_met,sy_dist
4.603010178,0.04911,1.4593834,2.73,0,105.2,848,89.69,0.89,0.03025,2.6848,4821,0.788,0.765,0.16,500.395
0.766691517,0.015,1.22,1.98,0,1334.22,1541,84.94,0.388,0.0244,1.2638,4821,0.788,0.765,0.16,500.395
11.96409988,0.0997,3.53387773,12.2,0,100.96,808,84.85,0.0552,0.07842,4.526,5903,0.961,0.922,-0.26,1404.38
5.254169941,0.0602,2.55303229,7.05,0,338.15,1093,89.97,0.007,0.04618,2.9878,6123,0.987,1.053,-0.14,1472.62
5.906089783,0.065,2.06673842,4.92,0,247.83,1012,89.93,0.2362,0.02196,2.392,5966,0.961,1.049,-0.02,1229.18
12.14680004,0.11082,1.66049425,3.4,0,271.6,1097,86.45,0.891,0.00707,6.401,5877,1.963,1.187,0.04,451.242
5.056759834,0.0583,1.9493759,4.46,0,286.32,1049,85.55,0.71,0.01379,3.926,5926,0.939,1.03,-0.04,1136.6
10.687576,0.092,2.36,6.17,0,70.361,780,86.89,0.2,0.07777,3.221,5788,0.873,0.872,-0.1958,610.326
20.303005,0.141,1.97,8.8,0,29.875,630,87.96,0.04,0.05334,4.348,5788,0.873,0.872,-0.1958,610.326
29.022358,0.179,2.49,6.76,0,18.557,559,88.09,0.89,0.06376,3.961,5788,0.873,0.872,-0.1958,610.326
131.1900024,0.46206,2.77771129,8.13,0,1.3,284,89.97,0.069,0.09159,7.548,4898,0.803,0.774,0.14,513.107
25.88599968,0.1606,1.48912557,2.82,0,20.35,542,87.16,0.909,0.02171,4.35,5190,0.899,0.823,0.12,631.7
14.02639961,0.116,2.35388681,6.14,0,108.07,822,88.86,0.2123,0.04036,1.2808,5970,1.131,1.057,0.06,923.551
25.54339981,0.17871,2.70909809,7.8,0,111.8,772,88.78,0.593,0.01386,8.567,5422,1.782,1.02,0.02,784.625
3.924510002,0.0478,3.03648191,9.46,0,314.25,1074,89.22,0.71,0.04635,3.708,5776,0.849,0.939,-0.18,1804.36
11.60649967,0.0885,2.43836702,6.52,0,27.47,584,89.97,0.3817,0.07717,2.229,4703,0.701,0.686,-0.14,710.724
14.82009983,0.11054,1.76378826,3.76,0,24.5,552,89.88,0.059,0.01849,3.902,4825,0.732,0.785,0.08,374.615
11.12969971,0.0989,2.74516914,7.97,0,119.44,843,88.66,0.5298,0.0371,2.771,6122,0.964,1.041,-0.18,1693.86
5.604020119,0.05835,1.4088539,2.57,0,94.3,774,88.25,0.2932,0.02249,1.0273,4847,0.737,0.756,0,309.696
57.29290009,0.2597,2.38685349,6.29,0,3.76,355,89.99,0.1064,0.07736,4.878,4806,0.729,0.709,-0.1,631.884
1.6329,0.026,1.17,1.71,0,475.507,1237,89.04,0.34,0.02092,1.559,5208,0.806,0.763,-0.14,466.735
20.729042,0.139,2.02,4.74,0,16.029,530,89.34,0.57,0.05617,2.781,5208,0.806,0.763,-0.14,466.735
1.385800004,0.0206,0.72909663,0.313,0,245.15,1008,86.72,0.52,0.00933,1.6449,4239,0.6,0.611,-0.22,250.199
12.02289963,0.1016,3.90012032,14.5,0,85.78,776,87.95,1.1579,0.07786,1.2667,5982,0.879,0.967,-0.28,1589.81
7.970940113,0.0762,1.88610592,4.22,0,79.1,760,87.65,0.3108,0.05266,1.2893,5237,0.826,0.927,0.24,772.481
48.88819885,0.2395,1.51862272,2.92,0,5.23,386,86.81,0.2675,0.03722,6.468,4821,0.788,0.765,0.16,562.348
39.83110046,0.20894,2.58746104,7.21,0,7.33,420,89.89,0.999,0.03888,2.442,5026,0.759,0.8,0,423.348
0.727330983,0.0115,1.216205,1.96,0,86.97,849,88.7,0.153,0.03976,0.9332,3460,0.356,0.385,0.07,
1.302000046,0.0215,1.73447868,3.66,0,772.73,1344,87.69,0.0786,0.02905,1.3804,4948,0.816,0.782,0.14,848.76
8.94340992,0.08308,1.96065412,4.5,0,217.4,946,89.66,0.0362,0.02151,2.469,6074,1.005,0.873,-0.54,853.275
88.07160187,0.3575,2.42168247,6.44,0,2.79,330,89.79,0.0242,0.0955,6.772,4939,0.819,0.785,0.16,833.055
2.729599953,0.0394,1.58313575,3.13,0,1056.15,1455,85.66,0.4515,0.01456,2.721,5887,1.235,1.09,0.16,1331.25
3.59645081,0.0473,1.66,3.39,0,732.82,1327,83.31,0.781,0.01496,2.661,5887,1.235,1.09,0.16,1331.25
3.8867907,0.0343,1.07,1.24,0,37.372,571,89.6,0.3,0.05142,1.8098,3788,0.472,0.478,-0.28,177.594
7.267302,0.0451,1.25,2.1,0,13.98,464,89.9,0.28,0.06591,2.2691,3788,0.472,0.478,-0.28,177.594
13.342996,0.0781,1.4,2.54,0,7.204,379,89.1,0.36,0.08728,2.9002,3788,0.472,0.478,-0.28,177.594
22.407704,0.11,1.27,2.15,0,3.608,319,89.84,0.31,0.07089,3.3199,3788,0.472,0.478,-0.28,177.594
129.9441,0.432,1.17,1.71,0.04,0.3,177,89.96,0.13,0.04666,5.62,3755,0.523,0.544,-0.26,177.594
12.73719978,0.10625,1.13863767,1.55,0,56.3,697,89.24,0.364,0.01063,3.382,5420,0.868,0.874,0,438.703
40.0306015,0.24082,2.20677414,5.5,0,31.5,617,89.7,0.907,0.02286,4.979,5855,1.373,1.161,0.26,829.985
16.05730057,0.1199,2.203,5.49,0,41.04,645,87.2,1.6947,0.0575,3.546,5644,0.806,0.9,-0.24,1232.19
44.99760056,0.23678,2.26309256,5.74,0,41.5,508,86.35,0.758,0.01702,9.686,5871,0.983,1.097,0.21,865.546
3.881510019,0.049,0.75408365,0.353,0,427.6,1156,88.66,0.252,0.00425,2.797,5854,0.979,1.03,0.06,298.894
2.524009943,0.0344,1.57686072,3.11,0,495.14,1203,89.73,0.2288,0.0303,1.1968,5420,0.871,0.849,-0.06,922.255
11.66009998,0.1016,2.08215108,4.99,0,114.36,834,76.07,0.9541,0.0181,4.921,5791,1.083,1.03,0.16,976.737
9.887359619,0.0872,1.15985997,1.65,0,82.32,768,88.68,0.383,0.0068,4.23,5693,0.816,0.911,-0.24,680.583
211.0339966,0.62348,3.14950109,10.1,0,0.5,215,89.69,0.8954,0.19534,7.119,4658,0.686,0.743,0,274.18
8.167360306,0.07976,1.11955354,1.46,0,138.5,865,86.03,0.2789,0.01054,3.286,5808,0.902,0.987,-0.06,113.025
1.716828304,0.028,0.74,0.33,0,1056.84,1455,81.38,0.7,0.00595,2.068,5808,0.902,0.987,-0.06,113.025
4.938864,0.059,1.41,2.57,0,902.239,1244,84.67,0.15,0.01235,4.279,6105,1.287,1.081,-0.04,1143
10.640263,0.099,2.67,7.61,0,324.134,963,85.61,0.09,0.04553,5.284,6105,1.287,1.081,-0.04,1143
3.606940031,0.0452,2.10143764,5.07,0,287.6,1046,86.68,0.109,0.04317,1.0258,5508,0.84,0.955,0.07,407.216
1.952700019,0.0308,2.42172881,6.44,0,917.15,1403,80.96,0.1595,0.0403,0.872,5741,0.946,1.02,0.12,854.623
3.825910091,0.0465,2.38421141,6.28,0,241.25,1005,81.86,0.96,0.09344,1.8057,5223,0.885,0.913,0.32,840.182
0.558842003,0.0128,1.62573811,3.28,0,2412.15,1787,86.65,0.307,0.02809,0.7848,5151,0.792,0.903,0.21,820.957
56.57320023,0.2633,2.21110724,5.52,0,3.79,356,88.76,0.927,0.07833,4.188,4701,0.775,0.758,0.24,408.007
34.45859909,0.2039,3.22686692,10.5,0,23.05,559,88.74,0.626,0.0431,7.434,6161,0.862,0.95,-0.5,1660.45
6.99205,0.0758,0.853,2.4,0.098,475,1299,89.13,0.063,0.00334,4.842,6104,1.477,1.187,0.01,259.935
2.377569914,0.03472,0.624086,0.179,0,691.1,1278,88.09,0.2306,0.00338,2.263,5615,0.936,1.022,0.24,285.312
4.445879936,0.0521,2.92019781,8.86,0,302.6,1063,86.18,0.6496,0.04414,2.3816,5918,0.865,0.956,-0.26,1494.3
10.61340046,0.0957,2.06512018,4.92,0,242.6,987,89.57,0.3418,0.01502,0.9829,5865,1.388,1.023,0,627.171
2.061897,0.032,1.68,3.46,0,1069.235,1463,85.54,0.18,0.0214,1.791,6021,1.141,1.021,0.15,968.544
5.996553,0.066,3.19,10.3,0,257.348,1025,87.63,0.66,0.07114,3.231,6021,1.141,1.021,0.15,968.544
6.309219837,0.054,2.11686218,5.13,0,31.73,606,89.82,0.118,0.06912,1.2831,4380,0.53,0.524,-0.92,611.041
159.3939972,0.53325,2.98104391,9.17,0,1.5,289,89.96,0.77,0.1033,8.395,5135,0.874,0.812,0.12,1057.21
13.78730011,0.11636,1.48674404,2.81,0,122.1,894,83.09,0.2071,0.00751,5.747,5691,1.458,1.068,0.26,443.371
103.427002,0.4438,3.25107395,10.6,0,7.08,416,90,0.03,0.09501,5.03,6208,1.024,1.086,-0.12,1377.61
8.988320351,0.0845,1.81406781,3.95,0,131.92,864,81.14,0.1213,0.01608,4.65,5984,0.906,0.993,-0.2,1443.09
2.522559881,0.036,1.51110555,2.89,0,499.07,1205,63.8,1.2325,0.02102,1.406,5591,0.86,0.977,0.07,818.482
24.2758007,0.16,2.58158428,7.18,0,26.68,580,89.32,0.1881,0.07022,4.59,5745,0.837,0.928,-0.2,1059.51
19.94750023,0.1421,2.92454357,8.88,0,36.14,625,89.94,0.02,0.08613,1.756,5749,0.864,0.961,-0.1,1366.18
11.39169979,0.0956,1.32578716,2.32,0,145.67,886,84.87,0.2265,0.00473,4.971,5557,1.249,0.897,0,402.947
37.30369949,0.2082,2.94360686,8.98,0,14,493,87.03,0.02,0.05517,7.793,5646,0.817,0.864,-0.28,1395.13
10.399931,0.088,1.21,1.92,0,45.389,678,87.28,0.23,0.02753,3.417,5235,0.75,0.803,-0.04,591.534
20.134866,0.137,2.38,22.7,0,18.811,544,88.28,0.13,0.10352,3.565,5235,0.75,0.803,-0.04,591.534
4.820590019,0.05712,0.86867375,0.587,0,493,1328,77.54,0.0158,0.00409,3.468,6046,1.396,1.024,-0.16,529.596
4.02229023,0.0473,1.52139156,2.93,0,253.28,1017,88.3,0.5867,0.02344,0.8605,5516,0.827,0.873,-0.14,596.24
6.331230164,0.0633,1.83707938,4.03,0,108.04,822,89.7,0.094,0.03066,2.688,5383,0.759,0.851,-0.22,851.595
4.179369926,0.0504,1.70557445,3.55,0,478.98,1194,88.44,0.317,0.01728,2.647,5633,1.162,0.973,0.16,1050.72
2.762660027,0.0385,1.20117759,1.87,0,544.05,1231,87.48,0.1841,0.0185,1.893,5772,0.901,0.999,0,935.191
5.05368985,0.0576,1.21,1.92,0,243.06,1007,87.71,0.53,0.01715,2.514,5772,0.901,0.999,0,935.191
6.070290089,0.0615,2.11934728,5.14,0,91.45,789,89.17,0.0245,0.03441,1.29,5076,0.763,0.86,0.1,984.187
44.87020111,0.2529,3.09935997,9.8,0,19.5,536,89.67,0.2951,0.06361,4.199,6122,0.996,1.07,-0.1,1732.91
24.22030067,0.1546,2.81407954,8.32,0,15.43,505,89.97,0.032,0.08063,3.271,5165,0.761,0.859,0.02,983.174
4.765620232,0.05063,0.93353523,0.76,0,204.6,1167,89.51,0.3305,0.00675,2.165,5702,1.125,0.837,-0.28,360.921
4.095779896,0.0457,1.55098292,3.02,0,124.3,851,86.6,0.752,0.04055,1.704,4791,0.742,0.759,0.07,711.509
9.28699,0.0846,2.209,6.1,0.41,87.6,851,89.94,0.02,0.06917,3.3652,5541,0.859,0.936,-0.13,218.562
28.731,0.1765737,3.68,13.1,0.21,,,,,,,5544,0.859,0.936,-0.08,218.562
62.95,,5.06,22.5,0.05,,,,,,,5544,0.859,0.936,-0.08,218.562
2.019999,0.03,1.56,3.05,0,417.238,1166,86.2,0.68,0.03417,1.821,5106,0.795,0.834,0.06,433.387
3.763024,0.045,1.46,2.73,0,181.699,948,86.43,0.16,0.03613,1.536,5106,0.795,0.834,0.06,433.387
2.986229897,0.042,1.62314676,3.27,0,798.35,1356,88.11,0.2445,0.01229,2.969,6173,1.041,1.104,-0.04,1540.43
3.484129906,0.0453,1.47418907,2.77,0,389.41,1132,89.68,0.03,0.01616,1.356,5696,0.921,1.022,0.14,1028.37
3.822220087,0.0385,1.17563613,1.74,0,30.84,601,86.19,0.0512,0.03627,1.859,3729,0.514,0.52,0.06,344.337
17.0678997,0.1321,2.28642395,5.85,0,82.56,769,89.72,0.106,0.02624,6.165,6347,0.996,1.053,-0.34,1775.44
4.577020168,0.0436,1.3904994,2.51,0,24.38,567,89.48,0.327,0.071,0.949,3805,0.497,0.526,-0.1,270.854
3.42392993,0.0451,1.4460734,2.69,0,508.75,1212,89.16,0.213,0.01531,1.794,5788,1.015,1.038,0.16,1051.53
7.362689972,0.0738,2.77615754,8.13,0,155.72,901,89.65,0.0498,0.04293,1.3287,5868,0.894,0.987,-0.12,1360.63
5.652450085,0.05444,0.86973029,0.589,0,75,856,85,0.1469,0.01264,2.062,5159,0.8,0.752,-0.16,292.111
14.86390018,0.10371,1.15547044,1.63,0,20.6,620,84.23,0.98,0.02206,2.806,5159,0.8,0.752,-0.16,292.111
2.391609907,0.0306,1.09217411,1.33,0,266.01,1031,88.15,0.0366,0.01892,1.916,4935,0.685,0.663,-0.42,763.662
9.939632,0.087,1.34,2.36,0,50.2,722,84.14,0.14,0.03001,2.917,5282,0.789,0.857,0.13,594.464
17.738506,0.128,1.86,4.12,0,23.2,596,88.16,0.14,0.06055,2.821,5282,0.789,0.857,0.13,594.464
5.945041017,0.06104,2.28,5.82,0,99.6,857,86.24,0.0501,0.08002,2.5711,5215,0.8,0.84,-0.05,594.464
5.688769817,0.0536,1.184,1.78,0,40.88,645,88.6,0.39,0.02415,2.55,4234,0.639,0.636,-0.02,
5.990799904,0.0636,1.011,1.01,0,223.93,987,84.42,0.253,0.00723,1.661,5721,0.972,0.954,0,269.912
6.059219837,0.06489,1.35670508,2.41,0,201.8,976,89.19,0.2004,0.01582,1.268,5734,0.962,0.977,0.04,297.017
14.1960001,0.1209,1.51852059,2.92,0,105.7,818,87.66,0.2025,0.01962,3.577,6214,1.076,1.169,0.07,876.3
30.82789993,0.1954,2.9429803,8.97,0,27.66,585,89.98,0.173,0.06413,4.192,5982,0.96,1.047,-0.04,1621.56
13.83539963,0.114,3.21798413,10.4,0,101.05,809,84.1,0.3927,0.08671,3.786,6020,1.057,1.03,-0.06,1514.66
31.25429916,0.2053,2.61757235,7.35,0,38.54,635,89.98,0.019,0.0438,5.662,6246,1.092,1.18,0.07,2055.82
12.90240002,0.103,1.88971288,4.23,0,48.99,675,89.42,0.382,0.03544,2.446,5530,0.788,0.882,-0.22,909.037
47.0564003,0.2524,2.29763023,5.89,0,14.43,497,89.71,0.361,0.09205,4.803,5889,0.924,0.967,-0.16,1030.11
37.88660049,0.2107,2.62390658,7.38,0,12.46,479,89.97,0.026,0.06722,5.165,5513,0.818,0.868,-0.16,1177.53
9.926746,0.09,2.74,7.95,0,105.297,803,87.77,0.38,0.07255,3.78,5479,1.007,1.028,0.357,651.674
21.2234,0.15,2.79,8.2,0,38.216,623,87.86,0.82,0.05829,4.94,5479,1.007,1.028,0.357,651.674
6.47027579,0.0686,1.02,1.04,0,186.076,926,85.94,0.63,0.01169,3.241,5487,0.94,0.94,0.13,651.674
30.2541008,0.2043,2.95415848,9.03,0,44.87,660,89.94,0.1143,0.05766,2.0875,6277,1.161,1.239,0.21,885.913
20.03479958,0.15865,2.89459458,8.72,0,216.2,967,89.53,0.3312,0.01244,6.627,6120,2,1.251,0.02,928.989
3.15722086,0.0454,1.41,2.57,0,2436.47,1791,89.99,0.001,0.00497,3.762,6120,2,1.251,0.02,928.989
13.22259998,0.1077,2.29064904,5.86,0,71.11,740,83.99,0.1342,0.02617,4.337,5931,0.863,0.953,-0.28,1344.29
52.60969925,0.2846,1.95958179,4.5,0,8.63,553,89.88,0.102,0.02037,8.202,5881,1.294,1.109,0.16,990.838
15.33170033,0.1216,2.65446572,7.53,0,107.44,821,86.55,0.0316,0.01792,5.239,5726,1.285,1.018,0.16,1910.77
46.71640015,0.2588,3.00177922,9.28,0,18.74,531,89.68,0.159,0.03455,7.353,5856,1.092,1.057,0.16,1771.31
42.87770081,0.2197,2.31495961,5.97,0,9.8,451,89.99,0.02,0.10688,1.991,5256,0.832,0.768,-0.16,667.405
73.75039673,0.38733,3.40627075,11.5,0,34.7,677,89.83,0.127,0.02299,13.234,6056,2.481,1.408,0.14,1091
19.57783,0.194,1.992,4.63,0.43,37.8,621,88.92,0.55,0.04326,2.3,5720,0.92,1.01,0.12,326.362
59.36249924,0.30883,3.07250761,9.65,0,37.2,566,90,0.001,0.02336,14.04,5786,1.471,1.006,-0.02,508.201
11.38848,0.106,2.39,6.3,0,117.303,979,89.4,0.12,0.04571,3.618,6335,1.147,1.051,0,1009.1
50.697494,0.286,2.75,8,0,16.026,595,89.88,0.06,0.06109,6.115,6335,1.147,1.051,0,1009.1
13.02680016,0.10233,1.52955541,2.95,0,31.6,643,89.01,0.3879,0.03566,0.785,5083,0.844,0.844,0.22,275.694
38.5760994,0.23329,2.65323514,7.53,0,51.7,619,89.94,0.015,0.02821,19.861,6167,1.221,1.174,0.12,620.091
0.524177015,0.0123,1.51482218,2.91,0,2799.9,1891,86.42,0.318,0.0236,0.7648,5278,0.815,0.911,0.14,713.733
4.943290234,0.05605,1.17984089,1.76,0,250.5,1058,79.91,0.004,0.01262,2.9334,5661,1.008,0.964,0.1,328.007
1.419759989,0.02466,0.91307734,0.702,0,1835.6,1700,83.77,0.6002,0.00581,1.5126,5925,1.035,0.968,-0.14,428.514
3.951400042,0.0463,2.50271696,6.82,0,324.78,1083,79.61,1.6426,0.04057,1.0582,5570,0.899,0.845,-0.18,904.702
126.5569992,0.52662,3.16615594,10.2,0,9.4,524,88.63,0.9623,0.03576,7.923,6501,1.854,1.419,0.1,871.096
9.688599586,0.0915,3.0229133,9.39,0,163.1,1014,89.82,0.118,0.06661,2,6457,1.196,1.19,-0.06,905.069
13.06260014,0.0938,1.82828927,4,0,18.25,527,89.76,0.3063,0.04643,3.244,4522,0.655,0.646,-0.22,421.152
2.790659904,0.0334,1.16480773,1.68,0,104.74,816,87.73,0.0437,0.02239,0.662,4353,0.603,0.648,-0.18,189.833
2.092281,0.032,1.51,2.89,0,953.173,1648,87.62,0.13,0.02076,2.351,6089,1.025,0.94,-0.03,1097.97
17.308032,0.131,2.59,7.22,0,56.955,815,90,0.08,0.0633,4.961,6089,1.025,0.94,-0.03,1097.97
52.814973,0.275,2.4,6.35,0,12.863,562,90,0.18,0.05537,7.3,6089,1.025,0.94,-0.03,1097.97
4.950610161,0.0525,1.54732469,3.01,0,145.23,885,88.69,0.458,0.03095,1.808,5431,0.717,0.802,-0.44,798.595
31.33510017,0.2054,2.64976949,7.51,0,46.53,666,88.6,0.706,0.02649,6.071,6404,1.142,1.175,-0.06,1494.39
4.626049995,0.0516,2.1170287,5.13,0,247.34,1012,88.9,0.302,0.03469,0.56,5834,0.797,0.852,-0.5,842.492
4.850180149,0.05975,1.54869189,3.02,0,724.2,1098,56.15,0.2278,0.00645,5.676,6032,0.973,1.055,-0.06,1004.55
9.842579842,0.0918,2.75971163,8.05,0,97.62,801,89.71,0.234,0.06264,1.5672,5585,0.972,1.064,0.48,1076.48
6.080039978,0.0597,1.289,2.21,0,100.72,808,89.58,0.254,0.0184,1.308,4991,0.804,0.767,0.04,
3.035190105,0.0394,2.48812698,6.75,0,403.53,1143,86.14,0.965,0.06969,0.6182,5505,0.873,0.887,-0.04,1002.12
6.963630199,0.07375,1.0101666,1.01,0,229.4,1298,89.69,0.0504,0.00681,3.176,6040,1.686,0.984,-0.44,468.771
15.57129955,0.1022,1.03283226,1.09,0,5.98,399,89.64,0.312,0.01774,2.155,3872,0.557,0.585,0.12,193.903
2.208280087,0.0352,2.21964541,5.56,0,2016.25,1709,88,0.205,0.00879,2.841,6028,1.454,1.194,0.14,2617.35
8.307872,0.077,2.03,4.78,0,74.148,751,89.95,0.05,0.08238,3.15,5329,0.775,0.867,0.04,652.051
34.096863,0.197,1.55,3.02,0,11.281,469,89.65,0.29,0.04727,3.904,5329,0.775,0.867,0.04,652.051
10.77690029,0.0871,1.52696349,2.95,0,75.83,752,89.87,0.069,0.01583,2.616,5455,0.852,0.759,-0.34,697.253
20.65780067,0.1435,2.32107188,6,0,66.27,728,89.39,0.188,0.00982,8.232,5468,1.306,0.923,0.14,1277.32
27.21080017,0.1724,1.23923346,2.07,0,65.27,725,80.02,0.1219,0.00979,10.515,5973,1.305,0.922,-0.34,852.062
6.245659828,0.0607,1.28574667,2.2,0,67.62,731,87.87,0.2714,0.0212,2.372,4858,0.707,0.786,-0.02,605.631
5.883430004,0.0625,1.80235934,3.9,0,192.09,949,88.75,0.362,0.02177,2.466,5840,0.849,0.942,-0.24,1373.83
14.26519966,0.11959,1.16654878,1.69,0,114.3,853,89.29,0.353,0.00663,3.601,5825,1.291,1.049,0.14,449.351
5.943719864,0.0563,1.08940238,1.32,0,48.82,674,89.54,0.121,0.0301,1.847,4391,0.682,0.671,0.04,360.468
2.186619997,0.0299,0.94374867,0.79,0,345.07,1099,82.31,0.2799,0.01178,1.585,4904,0.772,0.745,0,460.899
9.328619957,0.0856,2.05124311,4.86,0,99.6,806,89.96,0.035,0.03544,1.6632,5749,0.864,0.961,-0.1,1320.38
6.38669014,0.0617,1.14315727,1.57,0,102.25,811,89.98,0.0597,0.02296,1.2428,5071,0.811,0.768,-0.02,479.263
20.739886,0.138,1.9,4.27,0,20.735,536,88.68,0.29,0.063,3.014,5128,0.782,0.839,0.03,451.312
47.427737,0.24,2.24,5.65,0,6.88,407,89.27,0.09,0.08499,5.114,5128,0.782,0.839,0.03,451.312
122.0800018,0.4545,2.66065673,7.56,0,1.8,297,89.4,0.9605,0.08548,4.121,5132,0.77,0.805,-0.06,451.312
2.297940016,0.0354,1.30749704,2.26,0,1352.14,1547,89.01,0.108,0.00832,2.923,6371,1.072,1.117,-0.18,1527.56
5.604710102,0.0588,1.6187808,3.25,0,132.98,866,89.14,0.1771,0.021,2.885,5401,0.777,0.871,-0.16,1042.45
7.991459846,0.0783,1.21463929,1.95,0,155.95,901,81.62,0.94,0.0145,3.2,5700,1.006,1.003,0.16,866.826
1.962260008,0.02915,0.74437023,0.337,0,612.3,1448,89.06,0.169,0.00683,1.45,5726,0.979,0.915,-0.1,492.847
2.440829992,0.0322,1.7810587,3.83,0,223.8,986,75.89,1.1473,0.05095,0.54,4803,0.698,0.752,-0.08,
41.86869812,0.22971,1.35415138,2.4,0,13.8,492,87.73,0.4484,0.01507,5.783,5852,0.837,0.928,-0.3,521.791
8.617429733,0.0763,1.10479327,1.39,0,68.28,733,89.86,0.3399,0.01506,2.713,5009,0.84,0.797,0.16,484.601
7.281690121,0.06686,0.73022577,0.315,0,57.1,1086,84.96,0.1001,0.01116,1.723,4970,1.806,0.996,0.32,249.102
7.281099796,0.0696,1.50004034,2.86,0,72.16,744,89.72,0.1063,0.03338,2.716,5008,0.788,0.844,0.18,750.93
6.647520065,0.0717,1.68161001,3.47,0,235.89,999,89.47,0.235,0.02893,1.961,6046,1.007,1.111,0.07,1204.54
5.599308,0.06,1.02,1.04,0.02,431.256,1142,79.07,0.22,0.00848,3.681,6004,1.12,0.857,-0.441,330.575
10.349695,0.09,1.23,5.3,0.08,189.965,930,83.51,0.22,0.01252,4.251,6004,1.12,0.857,-0.441,330.575
15.677563,0.119,1.22,1.98,0.03,109.091,810,84.55,0.66,0.01044,5.326,6004,1.12,0.857,-0.441,330.575
25.209715,0.164,0.91,0.693,0.38,57.941,691,87.69,0.14,0.00621,6.298,6004,1.12,0.857,-0.441,330.575
7.54425,0.08006,0.802,2.02,0.067,341.3,1084,87.62,0.51,0.00173,6.926,5818,1.384,1.12,0.23,287.339
11.3295,0.10493,0.868,2.11,0.043,198.4,1215,87.13,0.81,0.00171,5.86,5818,1.384,1.12,0.23,287.339
4.959319244,0.0565,12.21,,0,349.4,1103,86.15,0.831,0.9802,2.22739,5712,1.082,0.976,0.1,1314.51
4.53702121,0.0486,1.66,3.39,0,95.61,798,87.14,0.706,0.05044,1.813,4805,0.688,0.769,-0.06,592.711
10.84969477,0.0914,2.67,7.61,0,49.3,676,88.49,0.55,0.11221,3.474,5251,0.778,0.869,-0.04,865.512
18.5084526,0.1383,29.33,,0,51.32,683,77.63,1.258,0.07589,6.596,5942,0.938,1.028,-0.06,1076.27
17.790037,0.131,2.82,8.35,0,44.549,655,89.66,0.03,0.09517,4.478,5574,0.94,0.995,0.1142,495.358
49.567416,0.259,2.47,6.66,0,11.354,465,89.06,0.4,0.07307,3.668,5574,0.94,0.995,0.1142,495.358
1.31184443,0.02342,1.53,2.96,0,1444.516,1562,88.78,0.38,0.02628,1.7729,5636,0.93,0.97,0.04,495.358
33.0257179,0.2049,2.21,5.52,0,23.95,564,89.94,0.044,0.05071,6.032,5819,0.99,1.049,0.14,1709.4
453.54212,1.3292,9.23,62.5,0,5.45,390,89.78,0.633,0.0861,17.026,5874,3.006,1.519,0.12,659.395
3.82315697,0.0511,0.77,0.381,0,638.38,1282,89.7,0.064,0.00472,2.388,6202,1.122,1.213,0.21,558.855
7.32851947,0.0689,2.33,6.04,0,100.13,807,85.76,0.983,0.02778,1.211,5135,0.874,0.812,0.12,424.428
1.992812339,0.0238,6.81,37.3,0,48.82,675,55.11,1.127,0.03148,2.066,3638,0.42,0.45,-0.14,
3.42064689,0.0426,2.27,5.77,0,382.68,1129,82.03,0.92,0.03568,1.767,5370,0.966,0.877,0.14,
19.5489666,0.1307,1.89,4.23,0,26.62,579,89.05,0.83,0.05238,1.78,5549,0.732,0.776,-0.54,912.085
2.345863002,0.0318,1.23,2.04,0,233.38,997,89.81,0.035,0.03167,1.6795,4769,0.714,0.799,0.12,595.683
3.64830183,0.0427,1.33,2.33,0,129.44,860,89.75,0.063,0.03717,1.9985,4769,0.714,0.799,0.12,595.683
5.644914154,0.0571,2.66,7.56,0,72.38,744,88.57,0.445,0.13979,2.2599,4769,0.714,0.799,0.12,595.683
8.74292005,0.0765,1.92,4.35,0,40.33,643,89.95,0.025,0.07795,2.6277,4769,0.714,0.799,0.12,595.683
11.49500229,0.1038,1.53,2.96,0,351.79,1105,79.67,0.911,0.00514,7.602,6033,1.788,1.127,-0.1,513.426
10.16102353,0.0918,4.62,19.3,0,157.97,904,87.78,0.716,0.16539,3.1627,6032,1.06,0.999,-0.14,1252.13
23.637604,0.158,3.11,9.85,0,31.679,595,89.97,0.15,0.11713,4.954,5644,0.967,0.96,0,521.054
67.093408,0.316,3.25,10.6,0,7.885,420,88.93,0.13,0.12939,6.931,5644,0.967,0.96,0,521.054
1.73513619,0.0286,3.27,10.7,0,1372.87,1554,89.57,0.045,0.09526,2.2741,5751,1.071,1.028,0.21,392.739
4.06844957,0.0504,0.98,0.904,0,442.08,1170,86.61,0.55,0.00798,2.8349,5751,1.071,1.028,0.21,392.739
13.26079792,0.1065,1.47,2.76,0,78.79,760,89.51,0.22,0.01994,3.912,5478,1.053,0.914,0.16,855.82
22.79020351,0.1528,2.57,7.13,0,38.27,634,89.94,0.036,0.06179,5.0394,5478,1.053,0.914,0.16,855.82
15.6112238,0.1169,0.91,0.693,0,38.99,637,89.03,0.468,0.01135,3.873,5383,0.842,0.874,0,532.955
26.6565737,0.1943,4.15,16.1,0,157.45,903,88.72,0.686,0.01634,4.954,5159,3.062,1.373,-0.04,1031.91
4.61225043,0.053,0.51,0.087,0,268.27,1032,89.95,0.012,0.00291,2.695,5495,0.961,0.932,0.16,241.991
73.7578875,0.3259,4.28,16.9,0,4.66,375,89.74,0.714,0.18369,2.69,5029,0.93,0.847,0.48,595.331
